"ciputBE","ciputAccount","ciputCntrPrtNum","ciputCntrPrtName","ciputCAC","ciputAgentNum","ciputAgentName","ciputCnName","ciputLink","ciputCnInv","ciputEntryDate","ciputDocDate","ciputDueDate","ciputDbtBlns","ciputDbtBlnsOverd","ciputDbtBlnsOverdNot","ciputCdtBlns","ciputCdtBlnsOverd","ciputCdtBlnsOverdNot","ciputBlns","ciputCnInvDocCode","ciputAlligmentDate","ciputBaseDate","ciputCnInvDocSum","ciputStornoReason","ciputStornoDocCode","ciputSheetNum","ciputUnloadKey"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644923","31.12.2024","31.12.2024","13521371,78",,,"3120","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031503","31.12.2024","31.12.2024","13521371,78",,,"3121","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644927","31.12.2024","31.12.2024","12143974,74",,,"3122","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031504","31.12.2024","31.12.2024","12143974,74",,,"3123","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031500","31.12.2024","31.12.2024","117152,93",,,"3124","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644931","31.12.2024","31.12.2024","851658,95",,,"3125","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031506","31.12.2024","31.12.2024","851658,95",,,"3126","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644967","31.12.2024","31.12.2024","10767978,9",,,"3127","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031511","31.12.2024","31.12.2024","10767978,9",,,"3128","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644974","31.12.2024","31.12.2024","851699,69",,,"3129","32"
